job_ID;top_words
602;['protett', 'inval', 'fondamentale', 'cat', 'bat']
468;['gestion', 'stag', 'affiliazione', 'debb', 'curriculare']
469;['stor', 'te', 'aw', 'affrontin', 'sneakers']
383;['punt', 'vend', 'salmoiraghi', 'viganò', 'scrupolos']
386;['chiamata', 'città', 'domenica', 'concess', 'foto']
387;['chiamata', 'città', 'domenica', 'concess', 'foto']
364;['vend', 'dedizion', 'affidati', 'turnazione', 'vistas']
366;['ottic', 'fototessera', 'abilitazione', 'vistas', 'retribuito']
367;['addetto', 'vend', 'ottico', 'bolz', 'pubblic']
736;['negoz', 'determin', 'piacenz', 'gamestop', 'temp']
771;['negoz', 'buccinasc', 'venerdì', 'mensili', 'funzion']
772;['support', 'organigrammi', 'aule', 'colloqui', 'dovrann']
239;['obi', 'ferrament', 'grand', 'superf', 'vend']
240;['obi', 'garden', 'giardinagg', 'grand', 'superf']
161;['punt', 'pianific', 'gest', 'vend', 'margine']
9;['obi', 'cap', 'punt', 'svilupp', 'vend']
10;['lon', 'gard', 'musicale', 'divertente', 'tiger']
488;['format', 'tirocinante', 'umiltà', 'merce', 'conduzion']
489;['format', 'tirocinante', 'umiltà', 'merce', 'conduzion']
490;['format', 'tirocinante', 'umiltà', 'merce', 'conduzion']
492;['format', 'tirocinante', 'umiltà', 'merce', 'conduzion']
620;['attiv', 'pagh', 'cedolini', 'molise', 'abruzzo']
621;['saranno', 'negoziazione', 'store', 'ruol', 'coerent']
552;['saranno', 'negoziazione', 'store', 'ruol', 'coerent']
564;['negoz', 'svilupp', 'squadr', 'compett', 'negozio']
374;['cap', 'fas', 'percorso', 'dur', 'alli']
375;['corrett', 'entrat', 'spaz', 'negozio', 'merc']
376;['web', 'digital', 'fas', 'project', 'esperit']
377;['web', 'digital', 'fas', 'project', 'esperit']
1383;['fas', 'cap', 'dur', 'percorso', 'mesi']
1384;['responsabilità', 'squadra', 'trasparenti', 'professionista', 'affinc']
1385;['logist', 'responsabilità', 'second', 'precisi', 'casse']
1386;['responsabilità', 'hostess', 'cass', 'ascolto', 'denar']
603;['hilt', 'potra', 'vend', 'risult', 'eccezionali']
659;['hilt', 'potra', 'svilupp', 'punt', 'ruol']
534;['engineering', 'overseas', 'oil', 'familiarity', 'parm']
1107;['provincia', 'rapport', 'vendita', 'mil', 'prevederà']
1292;['mep', 'condizion', 'impiant', 'prov', 'costruzion']
1293;['mep', 'condizion', 'impiant', 'prov', 'costruzion']
1029;['dimension', 'uni', 'superior', 'common', 'en']
1199;['campagn', 'prodotti', 'brand', 'prepar', 'campagna']
1200;['recuper', 'registr', 'archivio', 'ec', 'office']
513;['googl', 'seo', 'tag', 'conosct', 'analytics']
726;['magent', 'modal', 'esperit', 'modul', 'conosct']
727;['filoblu', 'assistt', 'risors', 'offres', 'marzio']
635;['candidates', 'employer', 'communications', 'branding', 'programmes']
672;['reward', 'programs', 'policies', 'rol', 'implementation']
673;['analysis', 'customer', 'deep', 'knowledg', 'identify']
781;['yoox', 'world', 'campaign', 'relation', 'clos']
782;['payment', 'payments', 'skills', 'ynap', 'excellent']
783;['fittings', 'sampl', 'ensur', 'development', 'product']
395;['ecc', 'intervent', 'conosct', 'sistem', 'vmware']
397;['scop', 'intratten', 'rapport', 'formul', 'offering']
398;['periodo', 'relazional', 'ottim', 'warehouse', 'esperit']
406;['pecall', 'gra', 'tiburtin', 'http', 'zon']
407;['pecall', 'gra', 'tiburtin', 'http', 'zon']
408;['pecall', 'gra', 'tiburtin', 'http', 'zon']
345;['tests', 'products', 'certification', 'rad', 'preliminary']
346;['learning', 'deep', 'machin', 'vision', 'dl']
477;['headquarter', 'improv', 'sap', 'corpor', 'lipp']
478;['design', 'electronics', 'bt', 'experienc', 'technical']
479;['manag', 'customer', 'order', 'credit', 'accordanc']
480;['mechanical', 'parts', '3d', 'design', 'opto']
686;['tests', 'testing', 'compatibility', 'thermal', 'electromagnetic']
339;['supply', 'chain', 'material', 'coadiuv', 'parametr']
341;['amministr', 'contabilità', 'past', 'impres', 'fiss']
541;['san', 'aud', 'milanes', 'navett', 'don']
716;['vendor', 'market', 'margin', 'product', 'provision']
519;['based', 'jav', 'napol', 'developer', 'good']
788;['milion', 'laur', 'stag', 'laureand', 'realt']
789;['day', 'impaginazione', 'sketch', 'realizzazione', 'editorial']
857;['diritt', 'legal', 'tutel', 'relat', 'milion']
858;['vedr', 'project', 'ret', 'roll', 'work']
872;['gft', 'angularjs', 'web', 'jquery', 'java']
997;['approfond', 'jstl', 'servlet', 'oracl', 'stack']
1006;['pioltell', 'mi', 'commun', 'possibilita', 'showroom']
831;['prassel', 'python', 'propr', 'linux', 'postgresql']
833;['prassel', 'propr', 'frontend', 'backend', 'competente']
834;['prassel', 'android', 'propr', 'sdk', 'smartphon']
860;['vlc2', 'swift', 'nat', 'android', 'ios']
280;['engagement', 'delivery', 'project', 'customer', 'acceptanc']
281;['delivery', 'account', 'microsoft', 'services', 'ade']
724;['becaus', 'methodology', 'knowledg', 'developing', 'passionate']
599;['becaus', 'methodology', 'knowledg', 'developing', 'passionate']
530;['facebook', 'med', 'motivated', 'hav', 'international']
86;['app', 'unity3d', 'nat', 'net', 'server']
175;['vem', 'piattaform', '30', 'mydev', 'web']
176;['30', 'server', 'ral', 'vem', 'compett']
177;['vem', 'assistt', '30', 'noc', 'switch']
178;['vem', 'networking', '30', 'routing', 'switching']
193;['caratterist', 'preferenzial', 'requis', 'èquip', 'erba']
892;['test', 'èquip', 'er', 'erog', 'erbos']
893;['annunc', 'descrizion', 'rivolt', 'dell', 'intern']
266;['firmw', 'elettron', 'analogica', 'mathworks', 'microcontrollor']
267;['component', 'industrializz', 'plastic', 'prodott', 'fornitor']
414;['sharepoint', 'microsoft', 'net', 'buon', 'jobs']
321;['grupp', 'scai', 'sca', 'bologna', 'servizi']
322;['grupp', 'sca', 'scai', 'spring', 'conosct']
292;['web', 'nuov', 'conosct', 'art', 'javascript']
730;['vodafon', 'internship', 'program', 'internazionale', 'cors']
7;['ads', 'avvi', 'svilupp', 'formazion', 'period']
187;['spring', 'hibernate', 'usat', 'eclipse', 'farm']
188;['net', 'asp', 'microsoft', 'framework', 'server']
189;['configur', 'openstack', 'docker', 'amazon', 'aws']
325;['strategico', 'struttur', '00', 'pre', 'bologn']
326;['strategico', 'struttur', '00', 'pre', 'bologn']
327;['soluzion', 'architettural', 'contribu', '00', 'applic']
331;['telefon', 'test', 'analis', 'anomal', 'listing']
332;['services', 'web', 'cloud', 'perl', 'orlacle']
1297;['privacy', 'reg', 'sg', 'gi', '1101']
1298;['lgs', 'privacy', 'gi', 'gigroup', 'sg']
1193;['esegu', 'win', 'manutenzion', 'server', 'attiv']
1194;['esegu', 'win', 'manutenzion', 'server', 'attiv']
1221;['tibc', 'bpm', 'infrastruttur', 'tecnolog', 'partner']
1222;['kp', 'apprend', 'stag', 'prim', 'indetermin']
1225;['saper', 'fare', 'offriam', 'personal', 'net']
1226;['riconversion', 'tasking', 'tibco', 'minime', 'lavora']
1232;['xa', 'pacchetti', 'elettrorapido', 'eplan', 'ige']
1012;['contrattuale', 'inquadr', 'conosct', 'orma', 'wp']
1008;['php', 'wordpress', 'contrattuale', 'programm', 'conosct']
1183;['net', 'programm', 'contrattuale', 'inquadr', 'tecnic']
1171;['optional', 'personnel', 'management', 'sap', 'serviz']
1016;['ingegner', 'sql', 'buon', 'tsql', 'neolaur']
1033;['telecomunicazioni', 'serviz', 'energ', 'soluzion', 'mondo']
1034;['design', 'definizion', 'moment', 'finale', 'membr']
1020;['developers', 'choic', 'aws', 'stack', 'lov']
1150;['account', 'sap', 'sales', 'customers', 'prospects']
1152;['industry', 'siemens', 'plm', 'engagement', 'valu']
1153;['sicilia', 'calabr', 'territor', 'diagnostics', 'manager']
1176;['drives', 'motors', 'siemens', 'control', 'sales']
1101;['milano', '03', 'nota', 'forester', 'sens']
1103;['desk', 'help', 'dell', 'verr', 'catalogazione']
1104;['03', 'ss', 'sens', 'rif', 'bu']
1303;['interesse', 'ingegner', 'ict', 'manutenzion', 'direzioni']
1310;['energet', 'fattibil', 'stud', 'redazion', 'risp']
1311;['offert', 'inert', 'preventiv', 'siram', 'gara']
1312;['energetico', 'strument', 'raccolt', 'efficient', 'analis']
1304;['snam', 'hack', 'hackathon', 'farm', 'ottobre']
1305;['enterpris', 'risc', 'risk', 'snam', 'identif']
1306;['snam', 'digital', 'infrastruttur', 'evolu', 'realizz']
1323;['snam', 'sintes', 'support', 'progett', 'avanz']
1324;['bilanc', 'snam', 'gas', 'annual', 'consolid']
1325;['snam', 'gas', 'stimolante', 'unit', 'principal']
566;['qualit', 'riguard', 'quand', 'aziendal', 'analizz']
668;['negoz', 'sell', 'goldenpoint', 'magazzin', 'press']
677;['casert', 'provinc', 'protett', 'art', '99']
685;['energica', 'caratterizzano', 'versatil', 'affidate', 'maturità']
705;['casert', 'provinc', 'protett', 'art', '99']
706;['europe', 'della', 'extraeuropeo', 'territor', 'export']
809;['social', 'brand', 'pro', 'id', 'immagin']
932;['prodotto', 'ottimizz', 'process', 'componenti', 'ricercata']
933;['rm', 'automunita', 'rom', 'diplomata', 'estroversa']
996;['rm', 'automunita', 'rom', 'diplomata', 'estroversa']
998;['allievo', 'rm', 'stor', 'retail', 'flessibili']
1375;['estroverse', 'vetrine', 'allestimento', 'riassort', 'positive']
1376;['energica', 'caratterizzano', 'gestion', 'affidate', 'versatil']
1379;['estroverse', 'positive', 'maturità', 'color', 'protette']
1381;['vetrine', 'allestimento', 'riassort', 'estroversa', 'diplomata']
1388;['vetrina', 'vetrin', 'esposit', 'merchandising', 'spaz']
1390;['retail', 'stock', 'definizion', 'consuntiv', 'outlet']
1314;['victoria', 'secret', 'brand', 'retail', 'energia']
1372;['stor', 'bras', 'brand', 'team', 'vend']
241;['uiip', 'unilever', 'supply', 'chain', 'settembre']
113;['webin', 'president', 'unilever', 'webinar', 'vic']
