User_Id;rated_companies;suggested_companies
2460;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Unilever' 'Employerland Demo' 'RAI' 'Microsoft' 'Johnson & Johnson']
2463;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2465;['LUXOTTICA BRAZIL LTDA'];"['Bosch' 'Johnson & Johnson' 'Bricoman Italia'
 ""Victoria's secret - Percassi "" 'EVERIS']"
2469;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Elica' 'RAI' 'Aeroporti di Roma' 'Microsoft' 'Whirlpool']
2476;['Employerland' 'LUXOTTICA BRAZIL LTDA'];"[""Victoria's secret - Percassi "" 'Cellularline' 'Roche UK' 'Open Fiber'
 'EVERIS']"
2477;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2479;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2481;['Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Elica' 'Leroy Merlin']
2482;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2491;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2494;['Employerland' 'Johnson & Johnson'];"[""Victoria's secret - Percassi "" 'Roche UK'
 'Antica Focacceria San Francesco' 'Gi Group' 'EVERIS']"
2495;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Elica' 'Leroy Merlin']
2496;['Employerland'];['Università Europea di Roma' 'EY' 'Tech Data' 'Whirlpool' 'Datalogic']
2497;['Employerland'];"[""Victoria's secret - Percassi "" 'Roche UK' 'EVERIS' 'Gi Group'
 'Antica Focacceria San Francesco']"
2501;['Johnson & Johnson' 'Employerland'];"['Bricoman Italia' ""Victoria's secret - Percassi "" 'EVERIS' 'Leroy Merlin'
 'Cellularline']"
2502;['Employerland'];['Tech Data' 'Datalogic' 'Whirlpool' 'Aeroporti di Roma' 'RAI']
2503;['Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Università Europea di Roma' 'EY']
2504;['Employerland' 'LUXOTTICA BRAZIL LTDA'];['Lidl Italia' 'Decathlon' 'Würth Srl ' 'Rinascente' 'Bricocenter Italia']
2505;['Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Leroy Merlin' 'Elica']
2506;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2508;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
