job_ID;similar_ID;similarity_value
979;[979];[1.]
871;[978 871];[0.70131538 1.        ]
880;[880];[1.]
926;[926 927 928];[1.         0.46043226 0.37667296]
927;[926 927];[0.46043226 1.        ]
928;[926 928];[0.37667296 1.        ]
786;[786 787];[1.         0.32762832]
787;[786 787];[0.32762832 1.        ]
1382;[ 701 1382];[0.71785868 1.        ]
1380;[ 702 1380];[0.67818715 1.        ]
731;[731];[1.]
735;[735];[1.]
722;[722];[1.]
723;[723];[1.]
981;[981];[1.]
982;[982 869];[1. 1.]
869;[982 869];[1. 1.]
870;[870];[1.]
813;[813];[1.]
814;[814];[1.]
711;[ 623 1147  711  469];[0.32011823 0.37399319 1.         0.41478146]
712;[712];[1.]
602;[602 677 705];[1.         0.31051653 0.30873519]
468;[468];[1.]
469;[711 469];[0.41478146 1.        ]
383;[383];[1.]
386;[386 387 366 367];[1.         1.         0.40361733 0.44017369]
387;[386 387 366 367];[1.         1.         0.40361733 0.44017369]
364;[364 366 367];[1.         0.34275763 0.39822707]
366;[386 387 364 366 367];[0.40361733 0.40361733 0.34275763 1.         0.38975129]
367;[386 387 364 366 367];[0.44017369 0.44017369 0.39822707 0.38975129 1.        ]
736;[736];[1.]
771;[771];[1.]
772;[772];[1.]
239;[239 240   9];[1.         0.8514072  0.68807235]
240;[239 240   9];[0.8514072  1.         0.68025121]
161;[161];[1.]
9;[239 240   9];[0.68807235 0.68025121 1.        ]
10;[10];[1.]
488;[488 489 490 492];[1. 1. 1. 1.]
489;[488 489 490 492];[1. 1. 1. 1.]
490;[488 489 490 492];[1. 1. 1. 1.]
492;[488 489 490 492];[1. 1. 1. 1.]
620;[620];[1.]
621;[621 552];[1. 1.]
552;[621 552];[1. 1.]
564;[564];[1.]
374;[ 374 1383];[1.       0.791533]
375;[375];[1.]
376;[376 377];[1. 1.]
377;[376 377];[1. 1.]
1383;[ 374 1383];[0.791533 1.      ]
1384;[1384 1385 1386];[1.        0.5788767 0.6224743]
1385;[1384 1385 1386];[0.5788767  1.         0.63076197]
1386;[1384 1385 1386];[0.6224743  0.63076197 1.        ]
603;[603 659];[1.         0.45534451]
659;[603 659];[0.45534451 1.        ]
534;[534];[1.]
1107;[1107];[1.]
1292;[1292 1293  952];[1.         1.         0.32367546]
1293;[1292 1293  952];[1.         1.         0.32367546]
1029;[1029];[1.]
1199;[1199];[1.]
1200;[1200];[1.]
513;[513];[1.]
726;[726];[1.]
727;[727];[1.]
635;[635];[1.]
672;[672];[1.]
673;[673];[1.]
781;[781];[1.]
782;[782];[1.]
783;[783];[1.]
395;[395];[1.]
397;[397];[1.]
398;[398];[1.]
406;[406 407 408];[1. 1. 1.]
407;[406 407 408];[1. 1. 1.]
408;[406 407 408];[1. 1. 1.]
345;[345 686];[1.         0.37875287]
346;[346];[1.]
477;[477];[1.]
478;[478];[1.]
479;[479];[1.]
480;[480 707 656];[1.         0.34518827 0.3254267 ]
686;[345 686];[0.37875287 1.        ]
339;[339 341];[1.         0.31760154]
341;[339 341];[0.31760154 1.        ]
541;[541];[1.]
716;[716];[1.]
519;[519];[1.]
788;[788 857];[1.         0.34488885]
789;[789];[1.]
857;[788 857];[0.34488885 1.        ]
858;[858];[1.]
872;[872];[1.]
997;[997];[1.]
1006;[1006];[1.]
831;[831 833 834];[1.         0.75108315 0.64681229]
833;[831 833 834];[0.75108315 1.         0.73636341]
834;[831 833 834];[0.64681229 0.73636341 1.        ]
860;[860];[1.]
280;[280];[1.]
281;[281];[1.]
724;[724 599 530];[1.        1.        0.3075565]
599;[724 599 530];[1.        1.        0.3075565]
530;[724 599 530];[0.3075565 0.3075565 1.       ]
86;[86];[1.]
175;[175 176 177 178];[1.         0.42158613 0.47517098 0.4337675 ]
176;[175 176 177 178];[0.42158613 1.         0.54152314 0.56235586]
177;[175 176 177 178];[0.47517098 0.54152314 1.         0.60777186]
178;[175 176 177 178];[0.4337675  0.56235586 0.60777186 1.        ]
193;[193];[1.]
892;[892];[1.]
893;[893];[1.]
266;[266];[1.]
267;[267];[1.]
414;[414 188];[1.        0.4132952]
321;[321 322 292];[1.         0.73548187 0.36251892]
322;[321 322];[0.73548187 1.        ]
292;[321 292];[0.36251892 1.        ]
730;[730];[1.]
7;[7];[1.]
187;[187];[1.]
188;[414 188];[0.4132952 1.       ]
189;[189];[1.]
325;[325 326];[1. 1.]
326;[325 326];[1. 1.]
327;[327];[1.]
331;[331];[1.]
332;[332];[1.]
1297;[1297 1298 1257 1258 1259 1260 1261 1262  544];"[1.         0.70826749 0.53582175 0.52699179 0.45149358 0.45643832
 0.49912049 0.3274158  0.38571809]"
1298;[1297 1298 1257 1258 1259 1260 1261 1262  544];"[0.70826749 1.         0.49684324 0.48313423 0.41835481 0.42666789
 0.47090353 0.3807507  0.45108587]"
1193;[1193 1194];[1. 1.]
1194;[1193 1194];[1. 1.]
1221;[1221 1226];[1.         0.44837586]
1222;[1222];[1.]
1225;[1225];[1.]
1226;[1221 1226];[0.44837586 1.        ]
1232;[1232];[1.]
1012;[1012 1008 1183];[1.         0.74380878 0.63117491]
1008;[1012 1008 1183];[0.74380878 1.         0.65719438]
1183;[1012 1008 1183 1104];[0.63117491 0.65719438 1.         0.30348117]
1171;[1171 1033 1034];[1.         0.5230107  0.33651264]
1016;[1016];[1.]
1033;[1171 1033 1034];[0.5230107  1.         0.47072226]
1034;[1171 1033 1034];[0.33651264 0.47072226 1.        ]
1020;[1020];[1.]
1150;[1150];[1.]
1152;[1152];[1.]
1153;[1153];[1.]
1176;[1176];[1.]
1101;[1101 1104];[1.         0.69306119]
1103;[1103];[1.]
1104;[1183 1101 1104];[0.30348117 0.69306119 1.        ]
1303;[1303];[1.]
1310;[1310];[1.]
1311;[1311];[1.]
1312;[1312];[1.]
1304;[1304];[1.]
1305;[1305 1306 1323 1324 1325];[1.         0.61215656 0.57027706 0.50365307 0.55045117]
1306;[1305 1306 1323 1324 1325];[0.61215656 1.         0.6735821  0.56732752 0.61416566]
1323;[1305 1306 1323 1324 1325];[0.57027706 0.6735821  1.         0.5632237  0.65471427]
1324;[1305 1306 1323 1324 1325];[0.50365307 0.56732752 0.5632237  1.         0.55194504]
1325;[1305 1306 1323 1324 1325];[0.55045117 0.61416566 0.65471427 0.55194504 1.        ]
566;[566];[1.]
668;[668];[1.]
677;[ 602  677  685  705  933  996 1375 1376 1379 1381];"[0.31051653 1.         0.30053506 0.97614846 0.39522139 0.39522139
 0.49974274 0.39359323 0.50537116 0.45865707]"
685;[ 677  685  933  996  998 1375 1376 1379 1381];"[0.30053506 1.         0.37031402 0.37031402 0.34889538 0.43408316
 0.72396343 0.36307033 0.43553492]"
705;[ 602  677  705  933  996 1375 1376 1379 1381];"[0.30873519 0.97614846 1.         0.36586547 0.36586547 0.49687587
 0.3913353  0.502472   0.45602589]"
706;[706];[1.]
809;[ 809 1026];[1.         0.32288566]
932;[932];[1.]
933;[ 677  685  705  933  996  998 1375 1379 1381];"[0.39522139 0.37031402 0.36586547 1.         1.         0.33608794
 0.33899136 0.4207983  0.5103935 ]"
996;[ 677  685  705  933  996  998 1375 1379 1381];"[0.39522139 0.37031402 0.36586547 1.         1.         0.33608794
 0.33899136 0.4207983  0.5103935 ]"
998;[ 685  933  996  998 1376];[0.34889538 0.33608794 0.33608794 1.         0.32229772]
1375;[ 677  685  705  933  996 1375 1376 1379 1381];"[0.49974274 0.43408316 0.49687587 0.33899136 0.33899136 1.
 0.58802304 0.77587564 0.75075872]"
1376;[ 677  685  705  998 1375 1376 1379 1381];"[0.39359323 0.72396343 0.3913353  0.32229772 0.58802304 1.
 0.49667467 0.38924318]"
1379;[ 677  685  705  933  996 1375 1376 1379 1381];"[0.50537116 0.36307033 0.502472   0.4207983  0.4207983  0.77587564
 0.49667467 1.         0.41505563]"
1381;[ 677  685  705  933  996 1375 1376 1379 1381];"[0.45865707 0.43553492 0.45602589 0.5103935  0.5103935  0.75075872
 0.38924318 0.41505563 1.        ]"
1388;[1388];[1.]
1390;[1390];[1.]
1314;[1321 1332 1335 1371 1314 1372 1313 1328 1330 1319 1318];"[0.55962837 0.5364844  0.55586636 0.51346189 1.         0.43328574
 0.82334722 0.8013959  0.80888299 0.83321645 0.85291616]"
1372;[1321 1335 1371 1314 1372 1313 1328 1330 1319 1318];"[0.30477798 0.30276289 0.41695732 0.43328574 1.         0.37677457
 0.37949118 0.38571407 0.35362843 0.37460643]"
241;[241];[1.]
113;[113];[1.]
1108;[1108];[1.]
952;[1292 1293  952];[0.32367546 0.32367546 1.        ]
956;[ 956  957  959  961  962 1040  984  988];"[1.         0.6023175  0.6131689  0.61993368 0.57815615 0.59408528
 0.57937747 0.48420066]"
957;[ 956  957  959  961  962 1040  984  988];"[0.6023175  1.         0.73545474 0.73751997 0.69615336 0.64470722
 0.69474414 0.58905666]"
959;[ 956  957  959  961  962 1040  984  988];"[0.6131689  0.73545474 1.         0.69119037 0.6847576  0.66587342
 0.69157209 0.5690547 ]"
961;[ 956  957  959  961  962 1040  984  988];"[0.61993368 0.73751997 0.69119037 1.         0.75283938 0.64562692
 0.73476608 0.5756475 ]"
962;[ 956  957  959  961  962 1040  984  988];"[0.57815615 0.69615336 0.6847576  0.75283938 1.         0.63834859
 0.70036317 0.56179894]"
1040;[ 956  957  959  961  962 1040  984  988];"[0.59408528 0.64470722 0.66587342 0.64562692 0.63834859 1.
 0.63111797 0.54835096]"
984;[ 956  957  959  961  962 1040  984  988];"[0.57937747 0.69474414 0.69157209 0.73476608 0.70036317 0.63111797
 1.         0.56239458]"
988;[ 956  957  959  961  962 1040  984  988];"[0.48420066 0.58905666 0.5690547  0.5756475  0.56179894 0.54835096
 0.56239458 1.        ]"
923;[923];[1.]
924;[924];[1.]
925;[925];[1.]
972;[972];[1.]
973;[973];[1.]
1027;[1027];[1.]
1053;[1053];[1.]
1054;[1054];[1.]
1180;[1180];[1.]
1181;[1181];[1.]
1182;[1182];[1.]
1046;[1046];[1.]
715;[715];[1.]
819;[819];[1.]
353;[353];[1.]
438;[1055  438];[0.30747654 1.        ]
439;[439];[1.]
440;[440 841 842];[1.         0.31890953 0.31890953]
441;[441];[1.]
648;[648];[1.]
584;[584];[1.]
526;[526];[1.]
840;[840];[1.]
841;[440 841 842];[0.31890953 1.         1.        ]
842;[440 841 842];[0.31890953 1.         1.        ]
775;[775];[1.]
776;[776];[1.]
931;[ 931 1026];[1.        0.3177106]
986;[986];[1.]
987;[987];[1.]
707;[480 707 708 656];[0.34518827 1.         0.32023303 0.93971661]
708;[707 708];[0.32023303 1.        ]
656;[480 707 656];[0.3254267  0.93971661 1.        ]
790;[790];[1.]
791;[791 687];[1.        0.3783119]
828;[828];[1.]
837;[837];[1.]
838;[838];[1.]
732;[ 732  907  908  968 1155 1156  687];"[1.         0.39669656 0.4053092  0.56982182 0.37981831 0.3474539
 0.34404101]"
907;[ 732  907  908 1155 1156  687];[0.39669656 1.         0.46735935 0.42532605 0.45610536 0.47848743]
